Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age10_14,[10-14],73.0,6.34782609,,0.71812741
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age15_19,[15-19],138.0,4.84210526,,1.28104064
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age20_24,[20-24],294.0,6.0295324,,2.68200115
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age25_29,[25-29],523.0,8.65750704,,4.93619193
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age30_34,[30-34],897.0,11.54886056,,8.84891499
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age35_39,[35-39],1580.0,15.79368253,,15.81447657
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age40_44,[40-44],2878.0,17.73368661,,28.25838136
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age45_49,[45-49],5345.0,19.72907131,,49.21015628
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age50_54,[50-54],8624.0,19.9828533,,76.65328079
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age55_59,[55-59],12157.0,21.24049969,,115.72821338
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age60_64,[60-64],16431.0,23.00616074,,178.76195677
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age65_69,[65-69],20492.0,23.66965059,,283.82326503
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age70_74,[70-74],25866.0,25.65155302,,485.19904678
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age75_79,[75-79],37531.0,28.97878189,,907.12259581
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age80_84,[80-84],58986.0,32.72727273,,1740.7759034
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age85_over,[85+],203567.0,39.82108904,,5224.1286083
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age_all,[All],800918.0,30.84020635,132.06016287,253.13420927
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age_unknown,[Unknown],29.0,21.96969697,,
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age00,[0],458.0,1.95392491,,11.7559727
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age01_04,[1-4],215.0,5.28515241,,1.30143656
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age05_09,[5-9],120.0,4.94437577,,0.57475446
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age10_14,[10-14],156.0,5.35530381,,0.75094341
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age15_19,[15-19],399.0,4.20886076,,1.82459171
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age20_24,[20-24],817.0,4.29864253,,3.58767347
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age25_29,[25-29],1498.0,7.1143617,,6.8624326
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age30_34,[30-34],2706.0,11.08698324,,13.1076918
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age35_39,[35-39],4413.0,15.86211854,,22.11949913
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age40_44,[40-44],8807.0,21.09360031,,43.35304362
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age45_49,[45-49],15769.0,23.59463139,,73.30703472
NAC,North America and the Caribbean,USA,United States of America,2013,All,Age50_54,[50-54],28082.0,25.32396678,,125.53517964
