Country Code,Location,HealthExpenditurePerCapita(USD),Sex,LtrsPureAlcConsumedAvg,LtrsPureAlcConsumedLow,LtrsPureAlcConsumedAvgHigh,TobaccoUse(%),TobaccoUseLow(%),TobaccoUseHigh(%),ParentLocationCode,ParentLocation,ObesityPrevalence(%),ObesityPrevalenceLow(%),ObesityPrevalenceHigh(%),Year,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
ITA,Italy,3154.28,All,7.77,5.35,10.31,23.5,19.9,27.2,EUR,Europe,16.27,15.18,17.39,2014,36.78036314,362.2242394
PER,Peru,331.78,Male,11.92,7.61,16.27,18.9,14.4,23.3,AMR,Americas,15.78,14.87,16.7,2014,17.94341991,62.14080282
PER,Peru,331.78,Female,3.58,2.26,4.95,4.4,3.5,5.4,AMR,Americas,24.09,23.16,24.98,2014,19.36025429,57.13725506
PER,Peru,331.78,All,7.68,4.92,10.43,11.7,8.9,14.4,AMR,Americas,20.01,19.35,20.63,2014,18.59961227,59.62374859
GEO,Georgia,369.14,All,14.02,9.57,18.37,32.0,25.7,38.4,EUR,Europe,28.72,26.63,30.91,2014,42.00501151,553.2331634
GEO,Georgia,369.14,Male,23.67,16.13,31.05,57.2,45.8,68.7,EUR,Europe,25.51,22.46,28.78,2014,38.95215484,544.83030337
GEO,Georgia,369.14,Female,5.78,3.9,7.68,6.8,5.7,8.0,EUR,Europe,30.87,28.09,33.69,2014,45.13533586,560.8880685
KAZ,Kazakhstan,374.39,Female,1.36,0.75,2.04,8.3,6.8,9.7,EUR,Europe,18.88,16.81,21.08,2014,28.01754327,187.93901563
KAZ,Kazakhstan,374.39,All,4.25,2.33,6.23,25.7,21.1,30.3,EUR,Europe,16.52,15.07,18.05,2014,27.17540468,207.31547199
KAZ,Kazakhstan,374.39,Male,7.57,4.13,11.07,43.1,35.3,50.9,EUR,Europe,13.18,11.16,15.33,2014,26.47332786,228.06134206
IRN,Iran (Islamic Republic of),375.28,Female,0.09,0.004,0.25,4.1,3.0,5.3,EMR,Eastern Mediterranean,27.26,25.98,28.56,2014,45.97613741,137.40033519
IRN,Iran (Islamic Republic of),375.28,All,0.42,0.023,1.12,15.5,11.8,19.1,EMR,Eastern Mediterranean,20.79,19.97,21.6,2014,42.26052151,148.83476921
IRN,Iran (Islamic Republic of),375.28,Male,0.74,0.04,1.98,26.8,20.7,32.9,EMR,Eastern Mediterranean,14.46,13.44,15.49,2014,39.6284771,159.89862037
ARM,Armenia,408.88,Female,2.17,1.26,3.12,1.8,1.4,2.2,EUR,Europe,26.23,23.87,28.58,2014,50.72248981,435.28968863
ARM,Armenia,408.88,All,4.99,2.95,7.15,27.2,22.3,32.1,EUR,Europe,21.18,19.39,23.0,2014,47.87111207,440.20267838
ARM,Armenia,408.88,Male,8.59,5.1,12.32,52.6,43.1,62.0,EUR,Europe,14.02,11.41,16.78,2014,45.16492018,445.56286134
JPN,Japan,4121.53,Male,10.84,7.19,14.71,34.6,29.4,39.8,WPR,Western Pacific,5.19,4.71,5.72,2014,24.50335739,265.07429433
JPN,Japan,4121.53,Female,2.93,1.92,4.1,11.0,9.1,12.9,WPR,Western Pacific,3.04,2.75,3.34,2014,29.37241908,279.47383951
JPN,Japan,4121.53,All,6.76,4.51,9.17,22.8,19.3,26.3,WPR,Western Pacific,4.14,3.86,4.44,2014,26.84673418,272.46635627
MYS,Malaysia,415.65,Female,0.17,0.0,0.43,1.4,0.9,1.8,WPR,Western Pacific,20.85,19.34,22.42,2014,25.26276531,50.20642177
MYS,Malaysia,415.65,All,0.63,0.0,1.56,24.0,19.4,28.7,WPR,Western Pacific,17.14,16.14,18.17,2014,27.1285465,68.34583762
MYS,Malaysia,415.65,Male,1.07,0.0,2.64,46.7,37.8,55.6,WPR,Western Pacific,13.59,12.3,15.0,2014,28.27808068,85.31115474
NZL,New Zealand,4192.74,Male,15.2,10.82,19.98,17.5,14.8,20.2,WPR,Western Pacific,29.28,27.92,30.69,2014,32.7051633,228.75958156
NZL,New Zealand,4192.74,Female,4.61,3.22,6.19,15.2,12.7,17.8,WPR,Western Pacific,31.01,29.67,32.39,2014,33.79698518,224.98495865
NZL,New Zealand,4192.74,All,9.74,6.95,12.81,16.4,13.8,19.0,WPR,Western Pacific,30.16,29.17,31.11,2014,33.2466949,226.84047626
TKM,Turkmenistan,422.53,Female,0.94,0.51,1.45,0.5,0.3,0.7,EUR,Europe,20.72,18.47,23.14,2014,48.37624342,238.31340122
TKM,Turkmenistan,422.53,All,3.23,1.77,4.82,7.5,5.6,9.3,EUR,Europe,18.09,16.5,19.77,2014,45.1450348,262.22356214
TKM,Turkmenistan,422.53,Male,5.64,3.11,8.39,14.4,10.9,17.9,EUR,Europe,14.93,12.64,17.36,2014,42.70147685,286.88358584
ECU,Ecuador,435.51,Female,1.87,1.05,2.77,3.4,2.3,4.6,AMR,Americas,26.64,24.84,28.44,2014,24.64631422,87.26107557
ECU,Ecuador,435.51,All,4.06,2.3,5.98,11.3,8.1,14.5,AMR,Americas,21.43,20.23,22.6,2014,23.0799765,91.1242841
ECU,Ecuador,435.51,Male,6.28,3.6,9.27,19.2,13.9,24.5,AMR,Americas,16.0,14.45,17.63,2014,21.80976479,94.97774941
BLR,Belarus,438.05,All,11.96,8.78,15.17,33.4,27.0,39.8,EUR,Europe,21.1,18.98,23.27,2014,55.51414326,712.15284884
BLR,Belarus,438.05,Male,19.87,14.64,25.2,52.5,42.8,62.2,EUR,Europe,17.38,14.43,20.45,2014,53.31951562,741.64556284
BLR,Belarus,438.05,Female,5.4,3.95,6.95,14.3,11.2,17.4,EUR,Europe,23.75,20.85,26.83,2014,57.74540386,686.52381874
PRY,Paraguay,439.34,Female,2.36,1.43,3.4,5.9,4.3,7.5,AMR,Americas,29.32,24.94,33.85,2014,26.95740882,97.83975015
